q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
3.14,0.0,0.0,0.0,0.0,0.0,2.8984726691803404,1.4201262433781232,1.408210716867393,1.0
3.2028000000000003,0.0,0.0,0.0,0.0,0.0,2.8899363369836157,1.4342017007617482,1.4148480721451557,1.0
3.2656000000000005,0.0,0.0,0.0,0.0,0.0,2.8810612352170026,1.4476304894833971,1.4223275209962343,1.0
3.3284000000000007,0.0,0.0,0.0,0.0,0.0,2.871882354359848,1.460359665952477,1.430619575364332,1.0
3.391200000000001,0.0,0.0,0.0,0.0,0.0,2.8624358825539304,1.4723390448304938,1.439691543460134,1.0
3.454000000000001,0.0,0.0,0.0,0.0,0.0,2.852759062930124,1.483521396888958,1.4495076586501265,1.0
3.5168000000000013,0.0,0.0,0.0,0.0,0.0,2.8428900467757146,1.4938626352126967,1.460029220468125,1.0
3.5796000000000014,0.0,0.0,0.0,0.0,0.0,2.832867743121266,1.5033219890144565,1.4712147471935628,1.0
3.6424000000000016,0.0,0.0,0.0,0.0,0.0,2.822731665340062,1.5118621643755283,1.4830201393950038,1.0
3.705200000000002,0.0,0.0,0.0,0.0,0.0,2.8125217753648855,1.519449491278662,1.4953988537940879,1.0
3.768000000000002,0.0,0.0,0.0,0.0,0.0,2.8022783261363444,1.5260540563535914,1.5083020867644577,1.0
3.830800000000002,0.0,0.0,0.0,0.0,0.0,2.792041702903879,1.531649820811814,1.521678966742201,1.0
3.8936000000000024,0.0,0.0,0.0,0.0,0.0,2.7818522640051397,1.53621472310566,1.5354767547892338,1.0
3.9564000000000026,0.0,0.0,0.0,0.0,0.0,2.771750181751467,1.539730765906915,1.5496410525188804,1.0
4.019200000000002,0.0,0.0,0.0,0.0,0.0,2.761775284046779,1.5421840870620807,1.5641160165639123,1.0
4.0820000000000025,0.0,0.0,0.0,0.0,0.0,2.751966897364316,1.5435650142445192,1.5788445787414769,1.0
4.144800000000003,0.0,0.0,0.0,0.0,0.0,2.7423636917002803,1.5438681030880357,1.5937686710469237,1.0
4.207600000000003,0.0,0.0,0.0,0.0,0.0,2.733003528115681,1.5430921586515227,1.6088294545894657,1.0
4.270400000000003,0.0,0.0,0.0,0.0,0.0,2.72392330946743,1.5412402401300747,1.623967551567098,1.0
4.333200000000003,0.0,0.0,0.0,0.0,0.0,2.715158834917208,1.5383196487939732,1.6391232793661943,1.0
4.3960000000000035,0.0,0.0,0.0,0.0,0.0,2.7067446587916897,1.5343418992031086,1.6542368858628398,1.0
4.458800000000004,0.0,0.0,0.0,0.0,0.0,2.698713954350592,1.5293226738103194,1.6692487849982076,1.0
4.521600000000004,0.0,0.0,0.0,0.0,0.0,2.6910983829996424,1.5232817611326346,1.6840997916992193,1.0
4.584400000000004,0.0,0.0,0.0,0.0,0.0,2.683927969464083,1.516242977734172,1.6987313552183008,1.0
4.647200000000004,0.0,0.0,0.0,0.0,0.0,2.6772309834148786,1.508234074328287,1.7130857899722813,1.0
4.710000000000004,0.0,0.0,0.0,0.0,0.0,2.6710338280142913,1.4992866263691622,1.727106502970344,1.0
4.772800000000005,0.0,0.0,0.0,0.0,0.0,2.665360935820251,1.4894359095641916,1.7407382169343835,1.0
4.835600000000005,0.0,0.0,0.0,0.0,0.0,2.6602346724599184,1.4787207607979507,1.7539271882321064,1.0
4.898400000000005,0.0,0.0,0.0,0.0,0.0,2.6556752484522224,1.4671834250160694,1.7666214187636702,1.0
4.961200000000005,0.0,0.0,0.0,0.0,0.0,2.6517006395269926,1.4548693886726742,1.7787708609664774,1.0
5.024000000000005,0.0,0.0,0.0,0.0,0.0,2.6483265157548552,1.4418272003980415,1.7903276151298944,1.0
5.0868000000000055,0.0,0.0,0.0,0.0,0.0,2.6455661797672922,1.4281082795934867,1.801246118241971,1.0
5.149600000000006,0.0,0.0,0.0,0.0,0.0,2.643430514310428,1.4137667137081087,1.8114833236236185,1.0
5.212400000000006,0.0,0.0,0.0,0.0,0.0,2.641927939339326,1.3988590449966432,1.820998870642037,1.0
5.275200000000006,0.0,0.0,0.0,0.0,0.0,2.6410643788219437,1.3834440475991352,1.829755243834287,1.0
5.338000000000006,0.0,0.0,0.0,0.0,0.0,2.640843237383632,1.367582495821303,1.8377179208136536,1.0
5.4008000000000065,0.0,0.0,0.0,0.0,0.0,2.6412653868842417,1.3513369245291647,1.8448555083756732,1.0
5.463600000000007,0.0,0.0,0.0,0.0,0.0,2.6423291629807895,1.3347713826025756,1.8511398662672294,1.0
5.526400000000007,0.0,0.0,0.0,0.0,0.0,2.64403037168919,1.3179511804197006,1.8565462181307315,1.0
5.589200000000007,0.0,0.0,0.0,0.0,0.0,2.646362305919236,1.3009426323679745,1.8610532491860023,1.0
5.652000000000007,0.0,0.0,0.0,0.0,0.0,2.6493157719175855,1.2838127953967087,1.864643190264733,1.0
5.714800000000007,0.0,0.0,0.0,0.0,0.0,2.6528791255145463,1.2666292046421184,1.867301887866212,1.0
5.777600000000008,0.0,0.0,0.0,0.0,0.0,2.657038318031724,1.249459607167076,1.8690188599581248,1.0
5.840400000000008,0.0,0.0,0.0,0.0,0.0,2.661776951669555,1.2323716948653345,1.8697873373024285,1.0
5.903200000000008,0.0,0.0,0.0,0.0,0.0,2.667076344156357,1.2154328375832533,1.8696042901433687,1.0
5.966000000000008,0.0,0.0,0.0,0.0,0.0,2.6729156024039997,1.1987098175112176,1.8684704401524264,1.0
6.028800000000008,0.0,0.0,0.0,0.0,0.0,2.6792717048798336,1.1822685658919134,1.8663902575830973,1.0
