q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
0.0,0.0,1.57,0.0,-1.57,0.0,2.554509071577376,0.3488291242740785,0.9949609123352956,1.0
0.157,0.0,1.57,0.0,-1.57,0.0,2.6001255459254056,0.41839478640972727,0.8899775064742151,1.0
0.314,0.0,1.57,0.0,-1.57,0.0,2.635419780943778,0.5042202039341153,0.7933851969059041,1.0
0.471,0.0,1.57,0.0,-1.57,0.0,2.659523594551869,0.6041942079972041,0.7075600009105104,1.0
0.628,0.0,1.57,0.0,-1.57,0.0,2.671844071248371,0.7158575970095407,0.6346130818888093,1.0
0.785,0.0,1.57,0.0,-1.57,0.0,2.67207814689017,0.836463629092409,0.5763388180982805,1.0
0.9420000000000001,0.0,1.57,0.0,-1.57,0.0,2.6602200635885467,0.9630455875620518,0.5341706638001692,1.0
1.099,0.0,1.57,0.0,-1.57,0.0,2.6365615113440812,1.0924897574444423,0.5091458885631606,1.0
1.256,0.0,1.57,0.0,-1.57,0.0,2.6016844529362895,1.2216120179143353,0.501880062080749,1.0
1.413,0.0,1.57,0.0,-1.57,0.0,2.556446808564283,1.347236166606354,0.5125519121352389,1.0
1.57,0.0,1.57,0.0,-1.57,0.0,2.501961352373555,1.466272049144543,0.5408989281783897,1.0
1.727,0.0,1.57,0.0,-1.57,0.0,2.4395683399807733,1.5757915720281646,0.5862238186736368,1.0
1.8840000000000001,0.0,1.57,0.0,-1.57,0.0,2.3708025403159727,1.6731007290775548,0.6474116633595357,1.0
2.041,0.0,1.57,0.0,-1.57,0.0,2.2973554827464184,1.7558058697039733,0.7229573385160054,1.0
2.198,0.0,1.57,0.0,-1.57,0.0,2.2210338481428877,1.8218725789093366,0.8110025406154211,1.0
2.355,0.0,1.57,0.0,-1.57,0.0,2.143715027401999,1.869675720661428,0.9093814976355883,1.0
2.512,0.0,1.57,0.0,-1.57,0.0,2.067300940614308,1.8980394136571104,1.0156742436089514,1.0
2.669,0.0,1.57,0.0,-1.57,0.0,1.9936712528532101,1.9062659561332944,1.1272661459388196,1.0
2.826,0.0,1.57,0.0,-1.57,0.0,1.924637137401901,1.8941529882213062,1.2414122212052365,1.0
2.983,0.0,1.57,0.0,-1.57,0.0,1.8618967237695008,1.8619984696779968,1.3553046573939107,1.0
0.0,-1.04,0.0,0.0,0.0,0.0,1.3005745897197893,1.9381723525300667,2.0404120118319784,2.0
0.0,-0.936,0.0,0.0,0.0,0.0,1.465774525084833,1.9068409818727983,2.075603755562872,2.0
0.0,-0.8320000000000001,0.0,0.0,0.0,0.0,1.6300893055070196,1.86237650598083,2.0987272409653768,2.0
0.0,-0.7280000000000001,0.0,0.0,0.0,0.0,1.7917433036193209,1.8052594193054292,2.109532589766849,2.0
0.0,-0.6240000000000001,0.0,0.0,0.0,0.0,1.948989645146033,1.7361069436325205,2.1079030366160953,2.0
0.0,-0.5200000000000001,0.0,0.0,0.0,0.0,2.100129086071112,1.6556663582268598,2.093856190879498,2.0
0.0,-0.41600000000000015,0.0,0.0,0.0,0.0,2.2435283751018,1.564806924541975,2.0675438463497176,2.0
0.0,-0.31200000000000017,0.0,0.0,0.0,0.0,2.3776379029980705,1.4645104927595058,2.029250340923306,2.0
0.0,-0.20800000000000016,0.0,0.0,0.0,0.0,2.5010084480447503,1.3558608916660695,1.97938948397298,2.0
0.0,-0.10400000000000015,0.0,0.0,0.0,0.0,2.61230683671048,1.2400322165233473,1.9185000846181435,2.0
0.0,-1.3877787807814457e-16,0.0,0.0,0.0,0.0,2.7103303502604428,1.118276141495658,1.8472401292163154,2.0
0.0,0.10399999999999987,0.0,0.0,0.0,0.0,2.7940197216413396,0.9919083937401418,1.766379670994962,2.0
0.0,0.20799999999999988,0.0,0.0,0.0,0.0,2.8624705821909497,0.862294535323995,1.6767925086601967,2.0
0.0,0.3119999999999999,0.0,0.0,0.0,0.0,2.9149432344762367,0.730835206612975,1.5794467439054116,2.0
0.0,0.4159999999999999,0.0,0.0,0.0,0.0,2.9508706456522,0.598950990594872,1.4753943198578077,2.0
0.0,0.5199999999999999,0.0,0.0,0.0,0.0,2.969864574963221,0.46806706169793394,1.3657596535130436,2.0
0.0,0.6239999999999999,0.0,0.0,0.0,0.0,2.971719769171548,0.3395977849930094,1.2517274849987965,2.0
0.0,0.7279999999999999,0.0,0.0,0.0,0.0,2.9564161805760616,0.21493143220436745,1.1345300749711993,2.0
0.0,0.8319999999999999,0.0,0.0,0.0,0.0,2.9241191836528384,0.0954151796918607,1.0154338884923435,2.0
0.0,0.9359999999999998,0.0,0.0,0.0,0.0,2.8751777879764413,-0.017659449479937625,0.8957259092862544,2.0
