q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
0.0,0.0,1.57,0.0,-1.91,0.0,2.557943544417578,0.36298386125699095,0.9744232695493876,5.0
0.0,0.0,1.57,0.0,-1.7189999999999999,0.0,2.557356608966906,0.3558748349911386,0.9853929229759256,5.0
0.0,0.0,1.57,0.0,-1.5279999999999998,0.0,2.554710956361808,0.3477951290510719,0.9953395263250786,5.0
0.0,0.0,1.57,0.0,-1.3369999999999997,0.0,2.5501028095946996,0.3390386041960962,1.003901319350326,5.0
0.0,0.0,1.57,0.0,-1.1459999999999997,0.0,2.5436997680210554,0.32992373724477986,1.0107669076744368,5.0
0.0,0.0,1.57,0.0,-0.9549999999999996,0.0,2.535734711732384,0.3207820379999732,1.0156865882744344,5.0
0.0,0.0,1.57,0.0,-0.7639999999999996,0.0,2.526497331653859,0.31194599216119895,1.0184814312378467,5.0
0.0,0.0,1.57,0.0,-0.5729999999999995,0.0,2.516323593418883,0.30373696874345585,1.019049787484687,5.0
0.0,0.0,1.57,0.0,-0.3819999999999995,0.0,2.5055835182219006,0.2964535318123903,1.0173709857678226,5.0
0.0,0.0,1.57,0.0,-0.1909999999999995,0.0,2.4946677250626372,0.2903605816407093,1.0135060844909742,5.0
0.0,0.0,1.57,0.0,4.996003610813204e-16,0.0,2.4839732238434324,0.28567972022446836,1.0075956510005635,5.0
0.0,0.0,1.57,0.0,0.1910000000000005,0.0,2.473888976027981,0.2825811915676179,0.9998546491190605,5.0
0.0,0.0,1.57,0.0,0.3820000000000005,0.0,2.464781748023632,0.2811776898685095,0.9905646208614296,5.0
0.0,0.0,1.57,0.0,0.5730000000000005,0.0,2.45698277180298,0.2815202608060384,0.9800634466874306,5.0
0.0,0.0,1.57,0.0,0.7640000000000005,0.0,2.45077569792101,0.2835964449965881,0.9687330567117559,5.0
0.0,0.0,1.57,0.0,0.9550000000000005,0.0,2.4463862790793116,0.2873307311446709,0.9569855398181069,5.0
0.0,0.0,1.57,0.0,1.1460000000000006,0.0,2.4439741594485143,0.292587302406075,0.9452481558919207,5.0
0.0,0.0,1.57,0.0,1.3370000000000006,0.0,2.4436270683731625,0.2991749760776579,0.9339477962802829,5.0
0.0,0.0,1.57,0.0,1.5280000000000007,0.0,2.445357629635324,0.3068541569561353,0.9234954576556629,5.0
0.0,0.0,1.57,0.0,1.7190000000000007,0.0,2.4491029023247353,0.315345551470611,0.9142712939726143,5.0
0.0,0.0,1.57,0.0,0.0,-3.14,2.4760750923211883,0.28316872862257747,1.0019997260351141,6.0
0.0,0.0,1.57,0.0,0.0,-2.826,2.477108063167342,0.28213433501029006,1.0014450053044035,6.0
0.0,0.0,1.57,0.0,0.0,-2.512,2.478425983201728,0.2813241427691174,1.00121831318162,6.0
0.0,0.0,1.57,0.0,0.0,-2.198,2.479899974921819,0.2808173794317514,1.001341817563043,6.0
0.0,0.0,1.57,0.0,0.0,-1.884,2.481385898799665,0.2806636006552793,1.001803441133044,6.0
0.0,0.0,1.57,0.0,0.0,-1.5699999999999998,2.482738448478789,0.28087784424483064,1.0025580423873908,6.0
0.0,0.0,1.57,0.0,0.0,-1.2559999999999998,2.483825360073568,0.28143915962826643,1.0035318299559493,6.0
0.0,0.0,1.57,0.0,0.0,-0.9419999999999997,2.4845403460641604,0.28229265658246216,1.0046295785545185,6.0
0.0,0.0,1.57,0.0,0.0,-0.6279999999999997,2.4848134890000337,0.2833548728691925,1.0057439409282607,6.0
0.0,0.0,1.57,0.0,0.0,-0.31399999999999967,2.4846180786267795,0.28452193588723257,1.0067659451851858,6.0
0.0,0.0,1.57,0.0,0.0,3.3306690738754696e-16,2.4839732238434324,0.28567972022446836,1.0075956510005635,6.0
0.0,0.0,1.57,0.0,0.0,0.31400000000000033,2.4829419840707487,0.2867150078176217,1.0081519226373772,6.0
0.0,0.0,1.57,0.0,0.0,0.6280000000000003,2.4816252027612467,0.2875265593836387,1.008380363093222,6.0
0.0,0.0,1.57,0.0,0.0,0.9420000000000004,2.4801516460631876,0.2880350144634081,1.0082586335048462,6.0
0.0,0.0,1.57,0.0,0.0,1.2560000000000004,2.4786654109643425,0.28819065196678895,1.0077986376334218,6.0
0.0,0.0,1.57,0.0,0.0,1.5700000000000005,2.477311834255041,0.2879782523264236,1.0070453578128806,6.0
0.0,0.0,1.57,0.0,0.0,1.8840000000000006,2.4762232802527095,0.2874185857973153,1.0060724561922478,6.0
0.0,0.0,1.57,0.0,0.0,2.1980000000000004,2.4755061970858594,0.2865663813634979,1.0049750714201522,6.0
0.0,0.0,1.57,0.0,0.0,2.5120000000000005,2.475230707284869,0.28550497486949,1.0038605151733646,6.0
0.0,0.0,1.57,0.0,0.0,2.8260000000000005,2.475423750600708,0.2843381597280522,1.002837778302441,6.0
